Minimum Support/Confidence,# of Frequent Patterns,# of Rules,Total Time,Maximum Memory
0.02,345,0,0.171,15.38574219
0.018,410,0,0.141,15.38378906
0.016,504,0,0.125,15.38574219
0.014,695,0,0.141,15.38964844
0.012,1049,28,0.172,15.70800781
0.01,1707,80,0.172,15.70605469
0.008,4150,52371,0.297,27.5859375
0.006,8429,71964,0.391,30.68847656
0.004,30155,319062,0.798,34.51171875
